K, 1, 5, #include, .global
O, 1, 72, <, .global
I, 1, #, iostream, .global
O, 1, 72, >, .global
K, 2, 5, #include, .global
O, 2, 72, <, .global
I, 2, #, list, .global
O, 2, 72, >, .global
K, 3, 5, #include, .global
S, 3, #, "Person.h", .global
S, 4, #, "Person.h, .global
K, 5, 92, int, .global
I, 5, #, main, .global
P, 5, 54, (, .global
P, 5, 55, ), .global
P, 6, 50, {, .global
K, 7, 91, bool, .global.main
I, 7, #, option, .global.main
P, 7, 63, ;, .global.main
I, 8, #, option, .global.main
O, 8, 73, =, .global.main
K, 8, 1, true, .global.main
P, 8, 63, ;, .global.main
K, 9, 92, int, .global.main
I, 9, #, age, .global.main
P, 9, 63, ;, .global.main
K, 10, 92, int, .global.main
I, 10, #, count, .global.main
P, 10, 63, ;, .global.main
I, 11, #, count, .global.main
O, 11, 73, =, .global.main
N, 11, #, 0, .global.main
P, 11, 63, ;, .global.main
K, 12, 92, double, .global.main
I, 12, #, averageAge, .global.main
P, 12, 63, ;, .global.main
I, 13, #, averageAge, .global.main
O, 13, 73, =, .global.main
N, 13, #, 0, .global.main
P, 13, 63, ;, .global.main
K, 14, 92, std::string, .global.main
I, 14, #, name, .global.main
P, 14, 63, ;, .global.main
I, 15, #, Person, .global.main
I, 15, #, *persons, .global.main
P, 15, 52, [, .global.main
N, 15, #, 50, .global.main
P, 15, 53, ], .global.main
P, 15, 63, ;, .global.main
I, 16, #, while, .global.main
P, 16, 54, (, .global.main
K, 16, 1, true, .global.main
P, 16, 55, ), .global.main
P, 16, 50, {, .global.main
K, 17, 6, if, .global.main.while
P, 17, 54, (, .global.main.while
I, 17, #, option, .global.main.while
O, 17, 80, ==, .global.main.while
K, 17, 1, true, .global.main.while
P, 17, 55, ), .global.main.while
P, 17, 50, {, .global.main.while
K, 18, 92, std::cout, .global.main.while.if
O, 18, 72, <, .global.main.while.if
O, 18, 72, <, .global.main.while.if
S, 18, #, "Insert name: ", .global.main.while.if
S, 18, #, "Insert name: , .global.main.while.if
P, 18, 63, ;, .global.main.while.if
K, 19, 92, std::cin, .global.main.while.if
O, 19, 72, >, .global.main.while.if
O, 19, 72, >, .global.main.while.if
I, 19, #, name, .global.main.while.if
P, 19, 63, ;, .global.main.while.if
K, 20, 92, std::cout, .global.main.while.if
O, 20, 72, <, .global.main.while.if
O, 20, 72, <, .global.main.while.if
S, 20, #, "and age: ", .global.main.while.if
S, 20, #, "and age: , .global.main.while.if
P, 20, 63, ;, .global.main.while.if
K, 21, 92, std::cin, .global.main.while.if
O, 21, 72, >, .global.main.while.if
O, 21, 72, >, .global.main.while.if
I, 21, #, age, .global.main.while.if
P, 21, 63, ;, .global.main.while.if
I, 22, #, averageAge, .global.main.while.if
O, 22, 73, =, .global.main.while.if
I, 22, #, averageAge, .global.main.while.if
O, 22, 80, +, .global.main.while.if
I, 22, #, age, .global.main.while.if
P, 22, 63, ;, .global.main.while.if
I, 23, #, count, .global.main.while.if
O, 23, 80, +, .global.main.while.if
O, 23, 80, +, .global.main.while.if
P, 23, 63, ;, .global.main.while.if
P, 24, 51, }, .global.main.while.if
K, 26, 9, else, .global.main.while
I, 26, #, break, .global.main.while
P, 26, 63, ;, .global.main.while
K, 27, 92, std::cout, .global.main.while
O, 27, 72, <, .global.main.while
O, 27, 72, <, .global.main.while
S, 27, #, "Do you wish to add another person ? 0/1\n", .global.main.while
S, 27, #, "Do you wish to add another person ? 0/1\n, .global.main.while
P, 27, 63, ;, .global.main.while
K, 28, 92, std::cin, .global.main.while
O, 28, 72, >, .global.main.while
O, 28, 72, >, .global.main.while
I, 28, #, option, .global.main.while
P, 28, 63, ;, .global.main.while
P, 29, 51, }, .global.main.while
K, 31, 92, return, .global.main
N, 31, #, 0, .global.main
P, 31, 63, ;, .global.main
P, 32, 51, }, .global.main
